,Mes,Número Banheiros,Número Camas,Número Comentários,Número Hóspedes,Taxa,Semana_do_ano,Jacuzzi,Academia,Secadora,Localização,Piscina,Permitido animais,Preço/Noite
1610,2,1,2,21,4,65.0,7,1,0,0,0.06319790924210028,0,0,344.0
1611,2,2,3,39,7,0.0,6,0,0,0,0.0071275837491090515,0,1,171.0
1612,3,2,3,37,6,0.0,12,0,0,0,0.0137799952482775,1,0,457.0
1613,2,1,1,4,4,24.5,6,0,0,0,0.06319790924210028,0,0,221.0
1614,3,1,6,38,6,24.5,10,0,0,0,0.009978617248752672,0,0,103.0
1615,1,1,2,27,4,0.0,4,0,0,0,0.08885721073889286,0,0,228.0
1616,2,1,1,24,4,65.0,8,0,0,0,0.06319790924210028,1,0,344.0
1617,3,2,5,10,8,65.0,12,0,0,0,0.0030886196246139226,1,0,457.0
1618,3,1,6,30,8,74.5,9,0,0,0,0.009028272748871463,1,0,242.0
1619,3,1,1,18,3,74.5,12,0,0,0,0.033499643620812536,0,0,149.0
1620,2,2,8,29,10,89.5,7,0,0,0,0.0009503444998812071,1,0,584.0
1621,3,1,3,53,4,40.0,10,0,0,0,0.0137799952482775,0,0,188.0
1622,2,1,2,36,4,65.0,7,0,0,0,0.08885721073889286,1,0,267.0
1623,4,1,1,104,4,24.5,14,0,0,0,0.02066999287241625,0,0,164.0
1624,3,2,4,45,5,24.5,11,0,0,0,0.05203136136849608,1,0,261.0
