,ID,Check-In,Check-Out,Localização,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Vista para o mar,Piscina,Lava-louças,Wi-Fi,Café da Manhã,Máquina de Lavar,Estacionamento gratuito,Academia,Jacuzzi,Secadora,Entrada/saída para esquis,Cozinha,Vista para as águas,Permitido animais,Lareira interna,Ar-condicionado,Self check-In,Elevador,Novo preço mais baixo,Raridade,Banheiro Compartilhado
2482,39610645,2021-04-23,2021-04-25,Santos,4,1,2,1,4.88,81,488.0,1096.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,False
4663,46743206,2021-03-05,2021-03-07,Vila Tupi,4,1,2,1,4.5,6,191.0,502.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
2893,47031517,2021-04-23,2021-04-25,Gonzaga,2,1,2,1,5.0,17,206.0,411.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,True
4243,38842222,2021-03-26,2021-03-28,São Vicente,3,1,1,1,4.42,19,149.0,297.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,False
3292,46189306,2021-02-26,2021-02-28,Mongaguá,7,2,6,2,5.0,7,521.0,1141.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
2652,38842222,2021-04-02,2021-04-04,São Vicente,3,1,1,1,4.41,17,137.0,274.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False
2916,41136046,2021-01-29,2021-01-31,Santos,4,1,2,1,4.96,23,228.0,605.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1027,16081237,2021-03-26,2021-03-28,Guarujá,6,2,7,3,4.88,34,221.0,662.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False
3802,46329139,2021-02-19,2021-02-21,Maitinga,6,2,5,2,5.0,7,314.0,628.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
4480,45787373,2021-02-26,2021-02-28,Vila Caiçara,6,1,2,1,5.0,18,309.0,708.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,False
