,ID,Check-In,Check-Out,Localização,titulo_2,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Plus 1,Plus 2,Plus 3,Plus 4,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Superhost
487,39763299,2021-03-19,2021-03-21,José Menino,"Conforto,frente à praia do José menino/Santos",3,Estúdio,2,1,Cozinha,Permitido animais,Elevador,Vista para o mar,4.65,51,107.0,294.0,Raridade
488,43663668,2021-03-19,2021-03-21,Casa inteira em Jardim Guaiuba,Casa Praia Guaúba familiar Vista p/ Montanha,5,3,4,2,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,5.0,19,351.0,781.0,Raridade
489,20222310,2021-03-19,2021-03-21,Ilha Porchat,"Ilha Porchat, com vista, garagem e Wi-Fi",4,1,1,1,Wi-Fi,Cozinha,Estacionamento gratuito,Elevador,4.71,104,164.0,377.0,Raridade
490,16256715,2021-03-19,2021-03-21,Guarujá,Proximo a praia para até 6 pessoas!,6,3,4,2,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.81,58,229.0,548.0,Raridade
491,45271945,2021-03-19,2021-03-21,Centro,DEMAIS!!! 50 Metros praia de Pitangueiras!,4,1,1,1,Wi-Fi,Cozinha,Permitido animais,Elevador,4.33,12,214.0,548.0,Raridade
492,38621022,2021-03-19,2021-03-21,Casa inteira em Jardim Mar e Ceu,residêncial familiar em Guarujá,5,2,5,1,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.97,32,286.0,571.0,Novo preço mais baixo
493,42405191,2021-03-05,2021-03-07,Jardim Virginia,Conforto Charmoso no Guarujá | Jd. Virginia,4,2,2,2,Wi-Fi,Cozinha,Estacionamento gratuito,Jacuzzi,4.69,13,275.0,644.0,Novo preço mais baixo
494,23022817,2021-03-05,2021-03-07,Jardim Las Palmas,Linda cobertura na praia do Tombo,6,2,5,2,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.47,45,628.0,1.255,Raridade
495,47090926,2021-03-05,2021-03-07,Gonzaga,Quarto com cama de casal condomínio com todo lazer,2,1,1,1 compartilhado,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.71,7,156.0,342.0,Raridade
496,41143618,2021-03-05,2021-03-07,Mongagua,Apto de 1 dorm frente ao mar com piscina no centro,6,1,3,1,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.89,35,178.0,445.0,Raridade
