Unnamed: 0,ID,Check-In,Check-Out,Localização,titulo_2,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Plus 1,Plus 2,Plus 3,Plus 4,Avaliação,Número Comentários,Superhost,Preço/Noite,Preço com taxas
7146,45787373,2021-03-12,2021-03-14,Vila Caiçara,"""Apto Novo, Varanda Gourmet e Vista para o Mar""",6,1,2,1,Wi-Fi,Vista para o mar,Self check-In,Vista para as águas,5.0,18,Raridade,292.0,673.0
7147,47445009,2021-03-12,2021-03-14,Vila Caiçara,JACARANDÁ PRIME - Vista para o mar,6,2,3,2,Wi-Fi,Vista para o mar,Elevador,Cozinha,5.0,8,Raridade,260.0,658.0
7148,41937959,2021-03-19,2021-03-21,Guilhermina,Apto frente  para o mar- Maracanã -Praia Grande-SP,6,1,2,1,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.95,19,Raridade,181.0,502.0
7153,45740885,2021-03-26,2021-03-28,Ilha Porchat,"Ilha Porchat, com vista deslumbrante para o mar.",2,1,1,1,Wi-Fi,Vista para o mar,Cozinha,Estacionamento gratuito,5.0,13,Novo preço mais baixo,293.0,685.0
7154,17667161,2021-03-05,2021-03-07,São Paulo,5  ⭐ Studio Moderno no Brooklin com Concierge  ⭐,2,1,1,1,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.83,256,Raridade,296.0,656.0
7155,16000395,2021-03-19,2021-03-21,Casa inteira em Itanhaém,ROTA DO SOL! Wi-Fi 120 Mega 300 metros da praia!,12,3,10,3,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.81,52,Novo preço mais baixo,713.0,1426.0
7156,45638464,2021-03-19,2021-03-21,Casa inteira em Califórnia,Casa com piscina em Itanhaém pertinho da praia,10,2,8,2,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,5.0,22,Raridade,730.0,1609.0
7157,31643433,2021-03-26,2021-03-28,Casa inteira em Jd Marcia II,"Sonho da Vovó Lélia! Casa inteira - Peruíbe, SP.",8,3,5,2,Ar-condicionado,Cozinha,Estacionamento gratuito,Permitido animais,4.67,9,Raridade,218.0,635.0
7158,14980407,2021-03-19,2021-03-21,Itanhaém,Apartamento em Itanhaém - Praia dos Sonhos,6,2,3,1,Cozinha,Estacionamento gratuito,Permitido animais,Elevador,4.13,60,Raridade,178.0,451.0
7159,30973729,2021-03-19,2021-03-21,Casa de hóspedes inteira em Jardim Peruibe,Edícula na Praia de Peruíbe/SP.,3,1,1,1,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.78,90,Raridade,108.0,285.0
7160,38460602,2021-03-05,2021-03-07,Centro,"Peruibe com piscina, churrasqueira, frente a praia",5,1,4,2,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.75,45,Raridade,261.0,571.0
7162,34466908,2021-03-12,2021-03-14,Vila Caiçara,"Apartamento a 200 metros da praia na Vila Caiçara,",4,1,3,1,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,5.0,41,Raridade,137.0,274.0
7165,38672853,2021-03-26,2021-03-28,Nova Mirim,Apto 74 pronto para oferecer o melhor pra você!,3,1,3,1,Wi-Fi,Vista para o mar,Elevador,Vista para as águas,4.94,65,Raridade,211.0,502.0
7167,31740002,2021-03-19,2021-03-21,Casa inteira em Nova Itanhaém - Interior,CASA PISCINA/ CHURRAS/ Wi Fi/ NETFLIX/ AR CONDIC.,12,3,11,3,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.66,29,Raridade,380.0,879.0
7171,42226939,2021-03-12,2021-03-14,Canto do Forte,Canto do forte Excelente localização c/ Wi-Fi,4,Estúdio,2,1,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.72,18,Raridade,109.0,337.0
7173,40673627,2021-03-19,2021-03-21,Casa inteira em Loty,Casa Inteira com piscina Vila Loty Itanhaém,16,1,1,2,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.86,21,Novo preço mais baixo,336.0,671.0
7174,31740002,2021-03-19,2021-03-21,Casa inteira em Nova Itanhaém - Interior,CASA PISCINA/ CHURRAS/ Wi Fi/ NETFLIX/ AR CONDIC.,12,3,11,3,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.66,29,Raridade,380.0,879.0
7175,40673627,2021-03-05,2021-03-07,Casa inteira em Loty,Casa Inteira com piscina Vila Loty Itanhaém,16,1,1,2,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.86,21,Novo preço mais baixo,336.0,671.0
7176,41368215,2021-03-12,2021-03-14,Vila Assuncao,"A 150 metros da praia, próx ao centro comercial",5,1,4,1,Wi-Fi,Elevador,Self check-In,Cozinha,4.97,37,Raridade,171.0,342.0
7177,38039978,2021-03-12,2021-03-14,Santos,Estanconfor Santos com Vista Mar,4,1,2,1,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.64,50,Raridade,294.0,588.0
7178,20589119,2021-03-26,2021-03-28,Casa inteira em Gaivota - Praia,CASA NA PRAIA COM PISCINA - ITANHAÉM- LITORAL SUL,12,2,10,2,Piscina,Cozinha,Estacionamento gratuito,Permitido animais,4.69,32,Raridade,578.0,1255.0
7179,16000395,2021-03-26,2021-03-28,Casa inteira em Itanhaém,ROTA DO SOL! Wi-Fi 120 Mega 300 metros da praia!,12,3,10,3,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.81,52,Novo preço mais baixo,713.0,1426.0
7180,30030388,2021-03-26,2021-03-28,Peruíbe,Apartamento frente ao mar no centro,5,2,15,2,Wi-Fi,Cozinha,Estacionamento gratuito,Elevador,4.46,47,Novo preço mais baixo,228.0,456.0
7181,41937959,2021-03-05,2021-03-07,Guilhermina,Apto frente  para o mar- Maracanã -Praia Grande-SP,6,1,2,1,Wi-Fi,Vista para o mar,Cozinha,Estacionamento gratuito,4.95,19,Raridade,181.0,502.0
7182,42329117,2021-03-19,2021-03-21,Nova Mirim,Apto. novo-frente ao mar-piscina na cobertura-wifi,4,1,4,1,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.88,34,Raridade,258.0,616.0
7183,45591346,2021-03-12,2021-03-14,Casa inteira em Estância Bal Maria H Novaes,"Piscina, Diversão, Sossego e Segurança!",6,3,4,3,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.89,9,Raridade,559.0,1267.0
7184,17774541,2021-03-19,2021-03-21,Casa-terra em Chácaras Bartira,Space Luna,5,1,4,1,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.77,65,Raridade,400.0,799.0
7185,45973067,2021-03-19,2021-03-21,Vilamar,"Kitão a beira mar, Praia Grande/SP, Bairro Caiçara",6,1,3,1,Cozinha,Estacionamento gratuito,Permitido animais,Vista para o mar,4.67,6,Raridade,171.0,342.0
7186,39446325,2021-03-05,2021-03-07,Casa inteira em Cibratel II,Casa cond fechado c/piscina Itanhaem Diária Grátis,8,2,6,1,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.67,30,Novo preço mais baixo,242.0,633.0
7188,16288700,2021-03-05,2021-03-07,Casa de campo inteira em Pedro de Toledo,Chácara dos Santana. Desconecte-se de SP e relaxe!,11,4,5,3 e meio,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.75,40,Raridade,245.0,559.0
